year,region,treat,cpue
2010,bol,mpa,3
2010,bol,mpa,2
2010,bol,mpa,3
2010,bol,mpa,6
2010,bol,mpa,1
2010,bol,mpa,3
2010,bol,mpa,6
2010,bol,mpa,2
2010,bol,mpa,5
2010,bol,mpa,1
2010,bol,mpa,2
2010,bol,mpa,1
2010,bol,mpa,1
2010,bol,mpa,4
2010,bol,mpa,3
2010,bol,mpa,1
2010,bol,mpa,0
2010,bol,mpa,2
2010,bol,mpa,3
2010,bol,mpa,0
2010,bol,mpa,5
2010,bol,con,2
2010,bol,con,2
2010,bol,con,2
2010,bol,con,4
2010,bol,con,0
2010,bol,con,1
2010,bol,con,2
2010,bol,con,1
2010,bol,con,3
2010,bol,con,5
2010,bol,con,0
2010,bol,con,0
2010,bol,con,1
2010,bol,con,2
2010,bol,con,1
2010,bol,con,2
2010,bol,con,4
2010,bol,con,2
2010,bol,con,1
2010,bol,con,2
2010,bol,con,3
2010,bol,con,1
2010,bol,con,1
2010,bol,con,1
2010,bol,con,3
2010,bol,con,2
2010,bol,con,0
2010,bol,con,4
2010,bol,con,4
2010,bol,con,2
2010,bol,con,0
2010,bol,con,3
2010,bol,con,0
2010,bol,con,3
2010,bol,con,4
2010,bol,con,0
2010,bol,con,1
2010,bol,con,3
2010,bol,con,2
2010,bol,con,2
2010,bol,con,3
2010,bol,con,3
2010,bol,con,2
2010,bol,con,0
2010,bol,con,0
2010,bol,con,1
2010,bol,con,0
2010,bol,con,1
2010,bol,con,2
2010,bol,con,2
2010,bol,con,0
2010,bol,con,3
2010,bol,con,2
2010,bol,con,1
2010,bol,con,3
2010,bol,con,2
2010,bol,con,1
2010,bol,con,0
2010,bol,con,1
2010,bol,con,4
2010,bol,con,0
2010,bol,con,2
2010,bol,con,4
2010,bol,con,0
2010,bol,con,1
2010,bol,con,0
2010,bol,con,4
2010,bol,con,3
2010,bol,con,0
2010,bol,con,2
2010,bol,con,1
2010,bol,con,0
2010,bol,con,1
2010,bol,con,1
2010,bol,con,2
2010,bol,con,0
2010,bol,con,2
2010,bol,con,1
2010,bol,con,1
2010,bol,con,2
2010,bol,con,1
2010,bol,con,1
2010,bol,con,0
2010,bol,con,0
2010,bol,con,0
2010,bol,con,2
2010,bol,con,0
2010,bol,con,0
2010,bol,con,1
2010,bol,con,0
2010,bol,con,0
2010,bol,con,3
2010,bol,con,1
2010,bol,con,0
2010,bol,con,1
2010,bol,con,0
2010,bol,con,2
2010,bol,con,2
2010,bol,con,0
2010,bol,con,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,2
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,2
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,0
2006,kve,mpa,0
2006,kve,mpa,1
2006,kve,mpa,1
2006,kve,con,4
2006,kve,con,2
